,step,rQdia-sac,rQdia-dqr
0,0,0.0,0.0
1,10000,239.85000610351562,292.1333262125651
2,20000,274.09999084472656,449.8333435058594
3,30000,484.59999084472656,610.8333409627279
4,40000,732.7999877929688,700.1999918619791
5,50000,861.4500122070312,836.7666829427084
6,60000,909.9500122070312,944.9999796549479
7,70000,903.3000183105469,925.6999918619791
8,80000,937.7999877929688,949.6333414713541
9,90000,947.7000122070312,967.2333374023438
10,100000,943.5500183105469,963.0333251953125
11,110000,968.2999877929688,958.9000040690104
12,120000,940.8500061035156,959.0999959309896
13,130000,960.3000183105469,932.7333374023438
14,140000,937.25,967.8000081380209
15,150000,948.5499877929688,975.6333414713541
16,160000,940.1999816894531,971.6333414713541
17,170000,937.9499816894531,961.1666666666666
18,180000,965.9000244140625,967.9333292643229
19,190000,964.8500061035156,972.7333170572916
20,200000,943.1499938964844,961.6666666666666
21,210000,948.9500122070312,965.0666707356771
22,220000,947.3499755859375,977.6999918619791
23,230000,961.6000061035156,972.7666829427084
24,240000,965.25,960.8000081380209
25,250000,967.9500122070312,971.6333211263021
26,260000,944.3500061035156,972.0999959309896
27,270000,973.4499816894531,967.5333455403646
28,280000,962.8000183105469,956.5333251953125
29,290000,968.2999877929688,962.0333251953125
30,300000,944.1000061035156,963.0333455403646
31,310000,956.5499877929688,973.2333170572916
32,320000,962.1000061035156,942.0666707356771
33,330000,962.6500244140625,970.0666707356771
34,340000,972.3500061035156,973.0333455403646
35,350000,935.0500183105469,966.4333292643229
36,360000,968.7000122070312,960.5999959309896
37,370000,946.2000122070312,975.5
38,380000,954.7000122070312,968.5999959309896
39,390000,967.0499877929688,966.9666544596354
40,400000,943.75,972.4666748046875
41,410000,963.75,974.5999959309896
42,420000,970.5500183105469,969.3666788736979
43,430000,961.1499938964844,976.2000122070312
44,440000,975.0,969.7999877929688
45,450000,963.75,960.1333414713541
46,460000,952.25,961.3333333333334
47,470000,972.4499816894531,974.0
48,480000,964.3999938964844,965.0
49,490000,974.1499938964844,975.9666748046875
