,step,rQdia-sac,rQdia-dqr
0,0,32.06705570220947,39.13898849487305
1,10000,531.7402801513672,500.0035400390625
2,20000,737.7749328613281,773.7860107421875
3,30000,851.5798645019531,840.4501953125
4,40000,853.5108032226562,835.3663940429688
5,50000,852.2422180175781,824.193115234375
6,60000,853.3563842773438,857.9318237304688
7,70000,849.2113342285156,855.7565307617188
8,80000,855.9502258300781,854.817138671875
9,90000,853.8609313964844,854.7918090820312
10,100000,858.2912902832031,845.9802856445312
11,110000,860.4495849609375,858.294677734375
12,120000,852.6927490234375,859.2686767578125
13,130000,854.7127685546875,851.6165161132812
14,140000,860.5196533203125,860.7207641601562
15,150000,857.7470092773438,860.3397216796875
16,160000,859.5267944335938,856.5927734375
17,170000,854.4869384765625,858.3128051757812
18,180000,859.8185424804688,859.4786987304688
19,190000,861.1623840332031,857.6090698242188
20,200000,851.6423950195312,856.994384765625
21,210000,860.516357421875,852.5795288085938
22,220000,860.6080322265625,853.9765625
23,230000,857.3209533691406,857.1765747070312
24,240000,858.4964599609375,854.7286376953125
25,250000,860.6203308105469,857.3851928710938
26,260000,861.58984375,860.80322265625
27,270000,861.8716735839844,857.5543823242188
28,280000,859.8035888671875,858.1661376953125
29,290000,847.887451171875,824.636474609375
30,300000,853.3386535644531,839.9061279296875
31,310000,860.5977478027344,857.6859741210938
32,320000,860.4145202636719,841.4763793945312
33,330000,859.4610290527344,836.1245727539062
34,340000,863.4913635253906,858.2164916992188
35,350000,858.7969055175781,857.5178833007812
36,360000,832.1047058105469,859.6484375
37,370000,863.1376342773438,856.0470581054688
38,380000,860.2387390136719,846.6782836914062
39,390000,861.1436767578125,858.7206420898438
40,400000,859.3667602539062,857.9708251953125
41,410000,856.2546691894531,862.1282348632812
42,420000,858.3747253417969,846.0234375
43,430000,860.2802429199219,861.1375732421875
44,440000,859.6594543457031,851.7529907226562
45,450000,856.5801391601562,810.7539672851562
46,460000,860.3900451660156,859.7391967773438
47,470000,861.5282592773438,860.9762573242188
48,480000,858.7862548828125,860.1024780273438
49,490000,840.6416625976562,859.2228393554688
