,step,rQdia-sac,rQdia-dqr
0,0,0.3955819755792618,0.46098096172014874
1,10000,160.5193634033203,143.95318094889322
2,20000,356.6413116455078,333.6481119791667
3,30000,408.49330139160156,468.6367696126302
4,40000,48.68072700500488,448.85272216796875
5,50000,287.8055953979492,468.2574869791667
6,60000,484.856201171875,366.8017921447754
7,70000,488.98858642578125,462.4548848470052
8,80000,517.8043060302734,435.1798400878906
9,90000,547.3610534667969,501.2212219238281
10,100000,553.9205322265625,540.3605550130209
11,110000,528.9967498779297,585.9643147786459
12,120000,609.7457580566406,607.7108968098959
13,130000,631.8712158203125,628.2581990559896
14,140000,636.3039245605469,629.5175170898438
15,150000,653.6401672363281,620.12451171875
16,160000,651.9691467285156,637.1424357096354
17,170000,663.80810546875,645.8027750651041
18,180000,649.7522888183594,674.4924112955729
19,190000,669.1007690429688,692.3566284179688
20,200000,674.494873046875,680.3665364583334
21,210000,666.1911010742188,697.00341796875
22,220000,709.2882080078125,704.2522989908854
23,230000,673.2579650878906,704.0818888346354
24,240000,709.922607421875,687.9674479166666
25,250000,708.6305541992188,725.6885986328125
26,260000,713.9742431640625,723.536865234375
27,270000,713.75439453125,725.8135986328125
28,280000,738.3357238769531,735.0330200195312
29,290000,738.5730590820312,748.616455078125
30,300000,725.5657958984375,743.7176513671875
31,310000,754.6022338867188,734.2330932617188
32,320000,667.2129211425781,746.5507202148438
33,330000,559.9234313964844,741.0219116210938
34,340000,737.4956665039062,772.7562866210938
35,350000,729.018310546875,727.4014485677084
36,360000,754.2520751953125,765.681640625
37,370000,735.0585021972656,740.5034586588541
38,380000,784.2481994628906,774.1427205403646
39,390000,763.4748840332031,770.9868570963541
40,400000,729.7328796386719,748.6682739257812
41,410000,777.7512512207031,772.1034749348959
42,420000,787.2228393554688,776.3702189127604
43,430000,781.5975036621094,732.0074259440104
44,440000,670.8172912597656,762.1340128580729
45,450000,804.5456237792969,779.9637451171875
46,460000,775.4792785644531,785.1090698242188
47,470000,801.9485168457031,788.5419921875
48,480000,779.2508544921875,804.3778279622396
49,490000,757.26171875,784.5608317057291
