,step,rQdia-sac,rQdia-dqr
0,0,0,0.0
1,10000,525.5999755859375,16.066667159398396
2,20000,574.7000122070312,409.59999593098956
3,30000,591.5999755859375,652.7666829427084
4,40000,610.2999877929688,704.4333292643229
5,50000,616.2999877929688,735.3666585286459
6,60000,604.2000122070312,785.0333455403646
7,70000,656.2000122070312,809.8333536783854
8,80000,634.5999755859375,815.7333170572916
9,90000,654.7000122070312,808.7666829427084
10,100000,653.0999755859375,816.3666585286459
11,110000,649.7000122070312,818.3333333333334
12,120000,654.2000122070312,814.3666585286459
13,130000,658.2999877929688,814.9000040690104
14,140000,651.5999755859375,814.1333414713541
15,150000,655.0999755859375,812.1666666666666
16,160000,656.2999877929688,823.6666666666666
17,170000,655.0999755859375,829.9666748046875
18,180000,658.7999877929688,834.9333292643229
19,190000,657.2000122070312,830.933349609375
20,200000,655.7000122070312,834.9666748046875
21,210000,657.2999877929688,834.5
22,220000,653.7000122070312,834.6999918619791
23,230000,657.2000122070312,841.2666625976562
24,240000,657.9000244140625,834.7333374023438
25,250000,656.5999755859375,822.1666666666666
26,260000,659.9000244140625,832.6666666666666
27,270000,593,854.0666707356771
28,280000,656.2999877929688,834.6333414713541
29,290000,754.2999877929688,849.8999837239584
30,300000,756.9000244140625,871.5999959309896
31,310000,798.5999755859375,841.5999959309896
32,320000,979.5999755859375,850.1999918619791
33,330000,973.5999755859375,872.2333374023438
34,340000,973.7000122070312,873.5999959309896
35,350000,980.9000244140625,870.4000040690104
36,360000,985.9000244140625,871.7666625976562
37,370000,976.5999755859375,855.0333455403646
38,380000,977.5,860.3666788736979
39,390000,982,869.9000040690104
40,400000,978.2999877929688,863.5
41,410000,986,858.1333414713541
42,420000,980.2000122070312,856.9666748046875
43,430000,966,866.1333211263021
44,440000,981.9000244140625,869.0333251953125
45,450000,979,869.2999877929688
46,460000,981.4000244140625,875.4666544596354
47,470000,983.2000122070312,872.1333211263021
48,480000,982.7000122070312,868.3333129882812
49,490000,980.2000122070312,874.8999837239584
