,step,rQdia-sac,rQdia-dqr
0,0,178.89999389648438,120.74999618530273
1,10000,490.6000061035156,404.4000062942505
2,20000,959.7000122070312,368.75
3,30000,718.0,510.15000915527344
4,40000,771.7000122070312,462.70001220703125
5,50000,950.7999877929688,521.1499938964844
6,60000,968.5,838.0
7,70000,965.7000122070312,729.3999938964844
8,80000,882.7000122070312,821.75
9,90000,872.0999755859375,878.1499938964844
10,100000,876.5,831.0500183105469
11,110000,974.5,875.8500061035156
12,120000,974.0,969.9500122070312
13,130000,979.5,978.0499877929688
14,140000,973.7000122070312,921.6499938964844
15,150000,878.7999877929688,952.75
16,160000,979.7999877929688,974.1000061035156
17,170000,963.5,779.8999938964844
18,180000,780.5999755859375,931.2000122070312
19,190000,973.5,980.1000061035156
20,200000,885.5999755859375,930.4500122070312
21,210000,975.2999877929688,880.8000183105469
22,220000,976.9000244140625,927.6499938964844
23,230000,697.2999877929688,967.4499816894531
24,240000,969.2000122070312,925.4500122070312
25,250000,843.0999755859375,978.4500122070312
26,260000,868.2000122070312,956.5
27,270000,977.2000122070312,960.5
28,280000,797.5999755859375,973.8999938964844
29,290000,876.7000122070312,974.7999877929688
30,300000,859.0999755859375,966.2999877929688
31,310000,787.7999877929688,886.25
32,320000,818.2999877929688,977.6000061035156
33,330000,976.9000244140625,974.8999938964844
34,340000,915.5999755859375,927.5500183105469
35,350000,989.0999755859375,974.4499816894531
36,360000,884.2999877929688,909.1000061035156
37,370000,873.0,979.8999938964844
38,380000,881.9000244140625,848.25
39,390000,986.0,974.6499938964844
40,400000,981.7000122070312,980.3999938964844
41,410000,980.7000122070312,978.8500061035156
42,420000,987.9000244140625,932.6499938964844
43,430000,978.5,974.0
44,440000,976.9000244140625,971.4499816894531
45,450000,790.2999877929688,930.1499938964844
46,460000,959.5,979.8499755859375
47,470000,983.2000122070312,979.3499755859375
48,480000,942.7999877929688,975.3500061035156
49,490000,852.9000244140625,927.4500122070312
