,step,rQdia-sac,rQdia-dqr
0,0,23.32396697998047,21.791379928588867
1,10000,33.55687999725342,42.00857162475586
2,20000,42.16307258605957,123.4502182006836
3,30000,218.9101791381836,313.3194885253906
4,40000,235.38384246826172,435.1689453125
5,50000,406.9452209472656,495.20037841796875
6,60000,411.89732360839844,578.3579711914062
7,70000,401.0162811279297,598.1039428710938
8,80000,309.6786117553711,680.1309814453125
9,90000,281.19664764404297,733.4669189453125
10,100000,304.40393257141113,784.2907104492188
11,110000,358.32482528686523,838.3314819335938
12,120000,308.31657218933105,842.1773681640625
13,130000,367.46592712402344,898.8269653320312
14,140000,370.0993137359619,921.0888671875
15,150000,402.1297359466553,937.5676879882812
16,160000,360.55283546447754,940.5158081054688
17,170000,401.0744113922119,951.5888061523438
18,180000,406.8498821258545,953.7574462890625
19,190000,375.2324285507202,948.6024780273438
20,200000,375.15656757354736,936.378662109375
21,210000,432.920654296875,932.6001586914062
22,220000,450.14800453186035,919.30615234375
23,230000,440.58062171936035,943.5401000976562
24,240000,418.6736011505127,945.8093872070312
25,250000,444.04701232910156,906.4105834960938
26,260000,389.87969398498535,931.1028442382812
27,270000,419.59537506103516,908.11181640625
28,280000,435.4212579727173,946.2542114257812
29,290000,428.5651321411133,949.8897094726562
30,300000,451.2044563293457,940.4984741210938
31,310000,468.2158679962158,938.0635986328125
32,320000,473.82361793518066,913.4361572265625
33,330000,468.7800941467285,922.9694213867188
34,340000,465.9081497192383,964.7357788085938
35,350000,458.9738292694092,899.0048217773438
36,360000,480.45691871643066,955.1456298828125
37,370000,471.5825958251953,938.1490478515625
38,380000,473.0881042480469,956.5366821289062
39,390000,447.5446071624756,954.6748046875
40,400000,445.5034942626953,953.0263061523438
41,410000,484.0950679779053,942.4338989257812
42,420000,492.5859775543213,935.9298095703125
43,430000,490.30588722229004,954.6751708984375
44,440000,474.90724086761475,958.2156982421875
45,450000,474.4069423675537,958.02490234375
46,460000,481.01611709594727,955.6495971679688
47,470000,473.5870990753174,955.9541625976562
48,480000,435.682580947876,955.371826171875
49,490000,473.89165210723877,956.5711059570312
